age,workclass,education,occupation,sex,hours.per.week,capital.investment-loss,income
82,Private,HS-grad,Exec-managerial,Female,18,4356,<=50K
54,Private,7th-8th,Machine-op-inspct,Female,40,3900,<=50K
41,Private,Some-college,Prof-specialty,Female,40,3900,<=50K
34,Private,HS-grad,Other-service,Female,45,3770,<=50K
38,Private,10th,Adm-clerical,Male,40,3770,<=50K
74,State-gov,Doctorate,Prof-specialty,Female,20,3683,>50K
68,Federal-gov,HS-grad,Prof-specialty,Female,40,3683,<=50K
41,Private,Some-college,Craft-repair,Male,60,3004,>50K
45,Private,Doctorate,Prof-specialty,Female,35,3004,>50K
38,Self-emp-not-inc,Prof-school,Prof-specialty,Male,45,2824,>50K
52,Private,Bachelors,Other-service,Female,20,2824,>50K
32,Private,Masters,Exec-managerial,Male,55,2824,>50K
46,Private,Prof-school,Prof-specialty,Male,40,2824,>50K
45,Private,11th,Transport-moving,Male,76,2824,>50K
57,Private,Masters,Exec-managerial,Male,50,2824,>50K
22,Private,Assoc-acdm,Handlers-cleaners,Male,40,2824,>50K
34,Private,Bachelors,Sales,Male,50,2824,>50K
37,Private,Bachelors,Exec-managerial,Male,40,2824,>50K
29,Private,11th,Sales,Female,42,2754,<=50K
61,Private,HS-grad,Sales,Female,25,2754,<=50K
51,Private,Some-college,Transport-moving,Male,40,2603,<=50K
21,Private,Assoc-voc,Craft-repair,Male,40,2603,<=50K
33,Private,1st-4th,Craft-repair,Male,32,2603,<=50K
49,Private,5th-6th,Other-service,Male,40,2603,<=50K
37,Self-emp-inc,10th,Transport-moving,Male,50,2559,>50K
38,Private,10th,Prof-specialty,Male,90,2559,>50K
23,Private,Some-college,Other-service,Male,40,2559,>50K
59,Self-emp-inc,10th,Exec-managerial,Female,50,2559,>50K
52,Private,Prof-school,Exec-managerial,Male,60,2559,>50K
51,Private,Bachelors,Exec-managerial,Male,50,2559,>50K
60,Self-emp-not-inc,HS-grad,Exec-managerial,Male,50,2559,>50K
63,Federal-gov,Doctorate,Exec-managerial,Female,60,2559,>50K
53,Private,HS-grad,Sales,Male,48,2559,>50K
51,Private,Prof-school,Prof-specialty,Female,50,2559,>50K
37,Self-emp-not-inc,Doctorate,Prof-specialty,Female,60,2559,>50K
54,Private,Masters,Prof-specialty,Female,40,2559,>50K
44,Private,Bachelors,Exec-managerial,Male,50,2547,>50K
43,Private,Masters,Exec-managerial,Female,40,2547,>50K
51,Private,Some-college,Adm-clerical,Female,40,2547,>50K
43,Private,Masters,Prof-specialty,Female,40,2547,>50K
48,Private,Bachelors,Sales,Female,70,2472,>50K
71,Private,HS-grad,Sales,Male,52,2467,<=50K
73,Self-emp-not-inc,HS-grad,Farming-fishing,Male,40,2457,<=50K
40,Self-emp-not-inc,Prof-school,Prof-specialty,Male,45,2444,>50K
50,Private,HS-grad,Sales,Female,72,2444,>50K
51,State-gov,Assoc-voc,Tech-support,Male,39,2444,>50K
42,Private,Some-college,Exec-managerial,Female,40,2444,>50K
39,Private,Masters,Sales,Male,45,2444,>50K
32,Private,Bachelors,Exec-managerial,Male,50,2444,>50K
53,Private,Some-college,Craft-repair,Male,45,2444,>50K
40,Local-gov,Some-college,Protective-serv,Male,40,2444,>50K
38,Private,Bachelors,Sales,Female,45,2444,>50K
33,Private,Assoc-voc,Craft-repair,Male,42,2444,>50K
43,Private,Assoc-acdm,Craft-repair,Male,70,2444,>50K
50,Self-emp-inc,11th,Exec-managerial,Male,40,2444,>50K
44,Private,Some-college,Adm-clerical,Female,6,2415,>50K
51,Self-emp-not-inc,Bachelors,Sales,Male,40,2415,>50K
41,Private,Prof-school,Prof-specialty,Male,40,2415,>50K
60,Self-emp-inc,Assoc-voc,Machine-op-inspct,Male,70,2415,>50K
37,Private,Masters,Exec-managerial,Male,60,2415,>50K
55,Self-emp-inc,Prof-school,Prof-specialty,Male,35,2415,>50K
39,Self-emp-inc,Bachelors,Sales,Male,60,2415,>50K
42,Self-emp-inc,Prof-school,Prof-specialty,Male,60,2415,>50K
49,Private,Bachelors,Sales,Male,55,2415,>50K
47,Self-emp-not-inc,HS-grad,Exec-managerial,Male,50,2415,>50K
41,Local-gov,Prof-school,Prof-specialty,Male,45,2415,>50K
55,Self-emp-inc,Bachelors,Exec-managerial,Male,50,2415,>50K
39,Private,Masters,Exec-managerial,Female,65,2415,>50K
42,Private,Bachelors,Exec-managerial,Male,60,2415,>50K
46,Private,Masters,Sales,Male,65,2415,>50K
40,Private,Masters,Exec-managerial,Male,45,2415,>50K
32,Private,Bachelors,Prof-specialty,Male,48,2415,>50K
41,Self-emp-inc,Some-college,Exec-managerial,Male,55,2415,>50K
60,Self-emp-inc,Prof-school,Prof-specialty,Male,80,2415,>50K
31,Private,Masters,Exec-managerial,Male,70,2415,>50K
58,Self-emp-not-inc,Some-college,Farming-fishing,Male,40,2415,>50K
37,Self-emp-inc,Bachelors,Sales,Male,50,2415,>50K
44,Self-emp-not-inc,Bachelors,Exec-managerial,Male,50,2415,>50K
39,Self-emp-not-inc,Prof-school,Prof-specialty,Male,50,2415,>50K
43,Federal-gov,Prof-school,Prof-specialty,Male,55,2415,>50K
44,Self-emp-inc,Masters,Prof-specialty,Male,55,2415,>50K
39,Private,Prof-school,Prof-specialty,Male,67,2415,>50K
46,Self-emp-not-inc,Bachelors,Sales,Male,40,2415,>50K
39,Private,Some-college,Farming-fishing,Male,99,2415,>50K
62,Self-emp-inc,Bachelors,Farming-fishing,Male,60,2415,>50K
31,Self-emp-not-inc,HS-grad,Other-service,Female,40,2415,>50K
46,Private,Bachelors,Adm-clerical,Male,35,2415,>50K
46,Self-emp-not-inc,Prof-school,Prof-specialty,Male,80,2415,>50K
39,Self-emp-inc,Assoc-voc,Craft-repair,Male,40,2415,>50K
39,Private,Prof-school,Sales,Male,99,2415,>50K
59,Private,Doctorate,Prof-specialty,Male,45,2415,>50K
50,Self-emp-inc,Prof-school,Prof-specialty,Male,60,2415,>50K
46,Private,Doctorate,Prof-specialty,Male,55,2415,>50K
53,Self-emp-not-inc,Bachelors,Exec-managerial,Male,40,2415,>50K
50,Self-emp-not-inc,Prof-school,Prof-specialty,Male,30,2415,>50K
41,Self-emp-inc,Prof-school,Exec-managerial,Female,55,2415,>50K
36,Private,Bachelors,Sales,Male,45,2415,>50K
38,Private,Prof-school,Prof-specialty,Male,90,2415,>50K
54,Private,Some-college,Sales,Male,50,2415,>50K
50,Private,Bachelors,Exec-managerial,Female,20,2415,>50K
47,Private,Bachelors,Exec-managerial,Male,60,2415,>50K
47,Self-emp-inc,Prof-school,Prof-specialty,Male,45,2415,>50K
67,Private,Bachelors,Exec-managerial,Male,40,2392,>50K
67,Self-emp-inc,Bachelors,Exec-managerial,Male,75,2392,>50K
72,Self-emp-not-inc,Doctorate,Prof-specialty,Male,25,2392,>50K
46,Self-emp-inc,Masters,Exec-managerial,Male,50,2392,>50K
78,Self-emp-inc,Bachelors,Exec-managerial,Male,40,2392,>50K
71,Self-emp-inc,Bachelors,Exec-managerial,Male,60,2392,>50K
83,Self-emp-inc,Bachelors,Exec-managerial,Male,55,2392,>50K
68,Private,Masters,Exec-managerial,Male,40,2392,>50K
26,Private,Assoc-voc,Adm-clerical,Male,45,2377,<=50K
68,State-gov,Doctorate,Prof-specialty,Male,60,2377,>50K
49,Self-emp-inc,HS-grad,Adm-clerical,Female,40,2377,>50K
36,Private,HS-grad,Prof-specialty,Male,60,2377,<=50K
70,Self-emp-not-inc,Bachelors,Craft-repair,Male,12,2377,>50K
27,Private,Some-college,Adm-clerical,Female,20,2377,<=50K
35,Local-gov,Some-college,Exec-managerial,Male,40,2377,<=50K
23,Private,HS-grad,Sales,Male,40,2377,<=50K
81,Private,HS-grad,Exec-managerial,Male,26,2377,>50K
66,Self-emp-not-inc,Doctorate,Sales,Male,25,2377,>50K
71,Private,HS-grad,Exec-managerial,Male,45,2377,>50K
68,Private,Some-college,Sales,Male,55,2377,>50K
68,State-gov,Masters,Prof-specialty,Male,42,2377,>50K
52,Private,HS-grad,Sales,Male,40,2377,<=50K
40,Self-emp-inc,Assoc-acdm,Craft-repair,Male,50,2377,<=50K
21,Private,Some-college,Exec-managerial,Male,48,2377,<=50K
35,Private,HS-grad,Craft-repair,Male,40,2377,<=50K
70,Self-emp-inc,Bachelors,Exec-managerial,Male,50,2377,>50K
61,Self-emp-not-inc,HS-grad,Farming-fishing,Male,50,2352,<=50K
65,Self-emp-inc,HS-grad,Farming-fishing,Male,65,2352,<=50K
46,Private,5th-6th,Craft-repair,Female,45,2339,<=50K
26,Local-gov,Bachelors,Prof-specialty,Male,55,2339,<=50K
59,Local-gov,HS-grad,Farming-fishing,Male,40,2339,<=50K
61,Private,5th-6th,Handlers-cleaners,Male,40,2339,<=50K
60,State-gov,Bachelors,Prof-specialty,Female,40,2339,<=50K
49,Self-emp-inc,Some-college,Exec-managerial,Male,50,2339,<=50K
34,Private,Bachelors,Machine-op-inspct,Male,40,2339,<=50K
25,Private,Bachelors,Prof-specialty,Female,35,2339,<=50K
55,Private,Some-college,Adm-clerical,Female,45,2339,<=50K
59,Local-gov,HS-grad,Protective-serv,Female,40,2339,<=50K
28,State-gov,Some-college,Exec-managerial,Male,40,2339,<=50K
56,Self-emp-not-inc,Masters,Sales,Female,60,2339,<=50K
41,Private,HS-grad,Craft-repair,Male,40,2339,<=50K
42,Private,HS-grad,Adm-clerical,Female,40,2339,<=50K
28,Private,Prof-school,Prof-specialty,Male,40,2339,<=50K
40,Self-emp-not-inc,Prof-school,Other-service,Female,35,2339,<=50K
69,Private,Bachelors,Prof-specialty,Male,40,2282,>50K
66,Local-gov,HS-grad,Craft-repair,Male,40,2267,<=50K
69,Private,5th-6th,Machine-op-inspct,Male,40,2267,<=50K
55,Local-gov,Masters,Prof-specialty,Female,40,2267,<=50K
57,Federal-gov,HS-grad,Adm-clerical,Male,40,2258,<=50K
20,Self-emp-not-inc,Some-college,Farming-fishing,Male,10,2258,<=50K
33,Private,HS-grad,Craft-repair,Male,84,2258,<=50K
30,Self-emp-not-inc,Some-college,Sales,Male,40,2258,<=50K
40,Private,Bachelors,Tech-support,Female,48,2258,<=50K
38,Private,Some-college,Machine-op-inspct,Male,55,2258,>50K
46,State-gov,Assoc-acdm,Adm-clerical,Male,38,2258,>50K
29,Private,Bachelors,Exec-managerial,Female,45,2258,>50K
57,Federal-gov,Bachelors,Adm-clerical,Male,40,2258,<=50K
39,Private,HS-grad,Craft-repair,Male,42,2258,>50K
47,Private,Bachelors,Exec-managerial,Male,40,2258,>50K
26,Private,Bachelors,Exec-managerial,Male,45,2258,>50K
27,Self-emp-not-inc,HS-grad,Craft-repair,Male,50,2258,<=50K
23,Private,Bachelors,Prof-specialty,Female,40,2258,>50K
34,Private,Masters,Prof-specialty,Male,50,2258,<=50K
33,Private,12th,Craft-repair,Male,42,2258,<=50K
38,Local-gov,Masters,Prof-specialty,Female,60,2258,<=50K
57,Private,Some-college,Adm-clerical,Female,38,2258,>50K
36,Private,HS-grad,Exec-managerial,Male,70,2258,<=50K
44,Federal-gov,Bachelors,Tech-support,Male,40,2258,>50K
49,State-gov,Doctorate,Exec-managerial,Female,50,2258,>50K
44,Self-emp-inc,Some-college,Sales,Male,60,2258,<=50K
55,Private,Some-college,Farming-fishing,Male,62,2258,>50K
45,Private,HS-grad,Farming-fishing,Male,44,2258,>50K
48,Private,HS-grad,Exec-managerial,Female,40,2258,>50K
31,Private,Bachelors,Exec-managerial,Male,45,2246,>50K
55,Local-gov,HS-grad,Prof-specialty,Female,40,2246,>50K
70,Self-emp-not-inc,Some-college,Exec-managerial,Male,40,2246,>50K
70,Self-emp-not-inc,Masters,Exec-managerial,Male,8,2246,>50K
73,Private,Bachelors,Prof-specialty,Male,40,2246,>50K
72,Self-emp-not-inc,Prof-school,Prof-specialty,Male,28,2246,>50K
31,Private,HS-grad,Machine-op-inspct,Female,40,2238,<=50K
28,Private,10th,Adm-clerical,Female,35,2238,<=50K
23,Self-emp-not-inc,Bachelors,Adm-clerical,Male,40,2231,>50K
49,Local-gov,9th,Handlers-cleaners,Male,40,2231,>50K
27,Local-gov,Some-college,Protective-serv,Male,40,2231,>50K
90,Private,HS-grad,Other-service,Male,40,2206,<=50K
68,Private,HS-grad,Adm-clerical,Female,30,2206,<=50K
65,Private,HS-grad,Adm-clerical,Female,59,2206,<=50K
67,Private,Bachelors,Exec-managerial,Female,5,2206,<=50K
66,Local-gov,Bachelors,Prof-specialty,Female,25,2206,<=50K
24,Private,Some-college,Adm-clerical,Male,24,2205,<=50K
44,Self-emp-not-inc,Some-college,Machine-op-inspct,Male,35,2205,<=50K
35,Private,Some-college,Adm-clerical,Female,40,2205,<=50K
20,Private,Assoc-acdm,Other-service,Female,18,2205,<=50K
38,Private,HS-grad,Craft-repair,Male,40,2205,<=50K
39,Private,Some-college,Other-service,Female,40,2205,<=50K
32,Private,Some-college,Machine-op-inspct,Female,40,2205,<=50K
42,Private,7th-8th,Handlers-cleaners,Male,40,2205,<=50K
42,Self-emp-inc,Masters,Exec-managerial,Male,60,2201,>50K
64,Private,11th,Craft-repair,Male,40,2179,<=50K
28,Private,7th-8th,Handlers-cleaners,Male,40,2179,<=50K
41,Self-emp-inc,Assoc-voc,Sales,Male,84,2179,<=50K
41,Self-emp-not-inc,7th-8th,Craft-repair,Male,40,2179,<=50K
58,Self-emp-not-inc,1st-4th,Transport-moving,Male,18,2179,<=50K
59,State-gov,Some-college,Exec-managerial,Male,40,2179,<=50K
34,Self-emp-not-inc,HS-grad,Farming-fishing,Female,12,2179,<=50K
45,Private,HS-grad,Transport-moving,Male,45,2179,<=50K
29,Private,HS-grad,Adm-clerical,Female,40,2179,<=50K
47,Private,10th,Sales,Male,52,2179,<=50K
40,Private,Some-college,Machine-op-inspct,Male,40,2179,<=50K
47,Self-emp-not-inc,5th-6th,Sales,Male,50,2179,<=50K
41,Self-emp-not-inc,HS-grad,Handlers-cleaners,Male,40,2179,<=50K
34,Private,Some-college,Transport-moving,Male,40,2179,<=50K
65,Self-emp-not-inc,Some-college,Exec-managerial,Male,10,2174,>50K
70,Private,HS-grad,Handlers-cleaners,Male,40,2174,>50K
75,Self-emp-not-inc,Prof-school,Prof-specialty,Male,50,2174,>50K
65,State-gov,HS-grad,Adm-clerical,Male,40,2174,>50K
65,Federal-gov,Some-college,Exec-managerial,Male,40,2174,>50K
73,Private,Some-college,Prof-specialty,Male,50,2174,>50K
68,Self-emp-not-inc,Assoc-voc,Prof-specialty,Male,40,2149,<=50K
74,Self-emp-not-inc,HS-grad,Sales,Male,20,2149,<=50K
43,Private,5th-6th,Machine-op-inspct,Female,72,2129,<=50K
19,Self-emp-not-inc,11th,Craft-repair,Male,55,2129,<=50K
37,Self-emp-not-inc,HS-grad,Craft-repair,Male,40,2129,<=50K
45,Federal-gov,Assoc-acdm,Adm-clerical,Male,40,2080,<=50K
64,Private,Masters,Prof-specialty,Male,60,2057,<=50K
30,Private,HS-grad,Transport-moving,Male,40,2057,<=50K
51,Self-emp-not-inc,Some-college,Prof-specialty,Female,60,2057,<=50K
35,Private,11th,Craft-repair,Male,40,2057,<=50K
29,Private,HS-grad,Adm-clerical,Female,20,2057,<=50K
34,Private,Some-college,Adm-clerical,Female,40,2057,<=50K
41,Private,HS-grad,Craft-repair,Male,60,2051,<=50K
35,Private,Some-college,Craft-repair,Male,45,2051,<=50K
26,Private,Some-college,Adm-clerical,Male,40,2051,<=50K
54,Private,HS-grad,Transport-moving,Male,50,2051,<=50K
52,Local-gov,HS-grad,Craft-repair,Male,40,2051,<=50K
50,Self-emp-not-inc,HS-grad,Farming-fishing,Male,20,2051,<=50K
31,Private,Some-college,Adm-clerical,Male,40,2051,<=50K
38,Federal-gov,HS-grad,Transport-moving,Male,40,2051,<=50K
30,Private,Some-college,Craft-repair,Male,40,2051,<=50K
34,Local-gov,Bachelors,Prof-specialty,Male,40,2051,<=50K
31,Private,Some-college,Sales,Male,57,2051,<=50K
52,Private,HS-grad,Machine-op-inspct,Male,38,2051,<=50K
54,Private,HS-grad,Craft-repair,Male,40,2051,<=50K
38,Private,HS-grad,Craft-repair,Male,44,2051,<=50K
39,Private,HS-grad,Machine-op-inspct,Male,40,2051,<=50K
29,Private,Assoc-voc,Tech-support,Male,40,2051,<=50K
45,Private,HS-grad,Craft-repair,Male,40,2051,<=50K
34,Private,HS-grad,Transport-moving,Male,55,2051,<=50K
38,Private,HS-grad,Craft-repair,Male,40,2051,<=50K
39,Private,10th,Craft-repair,Male,40,2051,<=50K
61,Private,HS-grad,Craft-repair,Male,20,2051,<=50K
43,Private,11th,Transport-moving,Male,40,2042,<=50K
35,Private,Some-college,Handlers-cleaners,Male,40,2042,<=50K
46,Private,Some-college,Sales,Male,50,2042,<=50K
38,Private,HS-grad,Handlers-cleaners,Male,40,2042,<=50K
42,Self-emp-not-inc,HS-grad,Craft-repair,Male,48,2042,<=50K
34,Private,Assoc-acdm,Tech-support,Male,10,2042,<=50K
29,Private,7th-8th,Farming-fishing,Male,40,2042,<=50K
32,Private,11th,Craft-repair,Male,30,2042,<=50K
60,Private,HS-grad,Protective-serv,Male,34,2042,<=50K
49,Local-gov,HS-grad,Craft-repair,Male,40,2002,<=50K
53,Local-gov,HS-grad,Other-service,Male,45,2002,<=50K
56,Private,7th-8th,Handlers-cleaners,Male,40,2002,<=50K
48,Private,11th,Transport-moving,Male,40,2002,<=50K
32,Federal-gov,Bachelors,Prof-specialty,Male,40,2002,<=50K
42,Self-emp-not-inc,HS-grad,Craft-repair,Male,40,2002,<=50K
32,Private,Assoc-acdm,Prof-specialty,Male,42,2002,<=50K
28,Local-gov,Assoc-acdm,Protective-serv,Male,40,2002,<=50K
26,Private,Assoc-voc,Craft-repair,Male,40,2002,<=50K
59,Private,Bachelors,Exec-managerial,Male,50,2002,<=50K
47,Self-emp-not-inc,Bachelors,Prof-specialty,Male,30,2002,<=50K
41,Private,HS-grad,Craft-repair,Male,60,2002,<=50K
36,Private,HS-grad,Craft-repair,Female,40,2002,<=50K
45,Private,Bachelors,Sales,Male,55,2002,<=50K
30,Private,Assoc-acdm,Prof-specialty,Male,40,2002,<=50K
36,Private,HS-grad,Transport-moving,Male,40,2002,<=50K
34,Self-emp-inc,HS-grad,Exec-managerial,Male,40,2002,<=50K
53,Private,HS-grad,Transport-moving,Male,40,2002,<=50K
51,Private,HS-grad,Sales,Male,45,2002,<=50K
47,Self-emp-not-inc,Doctorate,Transport-moving,Male,45,2002,<=50K
30,Private,HS-grad,Adm-clerical,Male,42,2001,<=50K
20,Private,HS-grad,Other-service,Male,40,2001,<=50K
42,Federal-gov,Masters,Adm-clerical,Male,60,2001,<=50K
31,Private,11th,Craft-repair,Male,40,2001,<=50K
33,Private,Bachelors,Handlers-cleaners,Male,40,2001,<=50K
25,Private,Assoc-acdm,Tech-support,Female,30,2001,<=50K
23,Private,HS-grad,Adm-clerical,Male,40,2001,<=50K
41,Self-emp-not-inc,Some-college,Craft-repair,Male,50,2001,<=50K
54,Self-emp-not-inc,HS-grad,Craft-repair,Male,35,2001,<=50K
25,Private,HS-grad,Craft-repair,Male,50,2001,<=50K
19,Private,Some-college,Adm-clerical,Female,40,2001,<=50K
24,Private,HS-grad,Adm-clerical,Female,37,2001,<=50K
56,Federal-gov,Bachelors,Transport-moving,Male,65,2001,<=50K
21,Local-gov,Some-college,Other-service,Female,40,2001,<=50K
34,Private,HS-grad,Machine-op-inspct,Male,40,2001,<=50K
19,Private,HS-grad,Adm-clerical,Male,40,2001,<=50K
48,Private,HS-grad,Adm-clerical,Female,40,2001,<=50K
34,Private,Bachelors,Other-service,Male,40,2001,<=50K
31,Private,HS-grad,Farming-fishing,Male,40,2001,<=50K
36,Private,HS-grad,Other-service,Female,40,2001,<=50K
27,Private,HS-grad,Other-service,Male,40,1980,<=50K
27,Private,Some-college,Craft-repair,Male,40,1980,<=50K
35,Private,Bachelors,Sales,Female,65,1980,<=50K
31,Self-emp-not-inc,Bachelors,Exec-managerial,Male,60,1980,<=50K
27,Federal-gov,HS-grad,Craft-repair,Male,40,1980,<=50K
28,Local-gov,Assoc-acdm,Adm-clerical,Female,40,1980,<=50K
42,Private,HS-grad,Transport-moving,Male,46,1980,<=50K
44,Private,Some-college,Exec-managerial,Male,45,1980,<=50K
41,Private,Bachelors,Sales,Male,56,1980,<=50K
28,Private,Bachelors,Tech-support,Female,35,1980,<=50K
41,Federal-gov,HS-grad,Adm-clerical,Female,40,1980,<=50K
35,Private,10th,Other-service,Female,40,1980,<=50K
58,Private,Masters,Adm-clerical,Female,45,1980,<=50K
40,Private,HS-grad,Machine-op-inspct,Male,48,1980,<=50K
31,Private,Assoc-voc,Transport-moving,Male,60,1980,<=50K
30,Private,HS-grad,Sales,Female,40,1980,<=50K
32,Private,Some-college,Tech-support,Male,40,1980,<=50K
25,Private,Some-college,Adm-clerical,Male,40,1980,<=50K
34,Private,HS-grad,Transport-moving,Male,40,1980,<=50K
56,Private,Some-college,Exec-managerial,Female,40,1980,<=50K
45,Private,HS-grad,Other-service,Male,40,1980,<=50K
50,Private,HS-grad,Adm-clerical,Male,40,1980,<=50K
27,Private,10th,Sales,Male,40,1980,<=50K
51,Private,Some-college,Sales,Male,40,1977,>50K
40,Private,Assoc-acdm,Tech-support,Male,60,1977,>50K
41,Private,Masters,Exec-managerial,Male,65,1977,>50K
49,Private,Masters,Exec-managerial,Male,45,1977,>50K
37,Private,Assoc-voc,Craft-repair,Male,40,1977,>50K
36,Self-emp-inc,Bachelors,Exec-managerial,Female,45,1977,>50K
35,Private,Prof-school,Prof-specialty,Male,80,1977,>50K
29,Self-emp-inc,HS-grad,Sales,Female,25,1977,>50K
50,Private,Bachelors,Prof-specialty,Female,40,1977,>50K
46,Private,Bachelors,Sales,Male,40,1977,>50K
44,Self-emp-not-inc,HS-grad,Exec-managerial,Male,45,1977,>50K
42,Local-gov,Masters,Exec-managerial,Male,40,1977,>50K
38,Federal-gov,Prof-school,Prof-specialty,Male,50,1977,>50K
45,Private,Bachelors,Exec-managerial,Male,55,1977,>50K
43,Local-gov,Masters,Exec-managerial,Male,60,1977,>50K
47,Self-emp-inc,Prof-school,Prof-specialty,Male,60,1977,>50K
58,Self-emp-inc,Prof-school,Prof-specialty,Male,50,1977,>50K
48,Private,Prof-school,Tech-support,Male,40,1977,>50K
42,Local-gov,Bachelors,Exec-managerial,Male,48,1977,>50K
55,Private,Masters,Exec-managerial,Male,50,1977,>50K
51,Private,10th,Sales,Male,40,1977,>50K
